地域階層,地域コード,国・地域(人),総数,男,女,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,マルタ,モルドバ,北マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネービス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍・その他
4,13109,品川区,15485,7806,7679,13097,1,0,415,0,0,66,0,20,42,5506,819,1,0,382,279,23,0,6,1,2513,84,0,7,1,100,80,0,0,903,47,793,0,7,2,69,184,72,673,0,1,1081,1,10,19,4,4,0,3,8,0,13,232,122,1,6,0,18,56,8,11,0,1,2,4,0,1,2,17,6,22,4,4,102,0,38,33,16,0,4,202,32,65,1,3,0,0,1,1,1,0,0,3,0,100,4,0,0,1,0,0,0,2,0,0,1,1,3,0,0,0,6,0,0,0,5,4,0,0,0,2,2,0,5,0,3,1,0,13,0,2,6,0,0,0,0,0,0,0,0,13,4,9,6,5,1,1,0,0,826,0,0,0,136,1,2,0,0,0,0,0,2,1,36,0,2,0,0,0,1,644,1,0,231,22,4,126,9,13,0,0,1,49,0,3,4,145,116,0,0,0,0,29,0,0,0,0,0,0,0,0,5
4,13110,目黒区,10548,5551,4997,6907,0,0,74,0,0,32,0,5,29,2543,587,2,0,180,323,18,2,10,1,1593,19,1,2,2,79,43,0,0,232,17,553,0,9,2,69,180,28,271,0,1,1761,2,20,15,5,7,1,4,22,4,18,419,189,10,13,1,25,100,2,7,1,2,2,5,2,0,3,45,10,36,10,10,121,0,49,65,24,0,3,435,29,31,0,2,0,0,2,4,1,0,0,4,1,96,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,5,1,1,0,2,4,0,1,3,0,1,1,12,1,0,0,0,7,1,1,6,0,0,2,0,0,1,0,1,5,4,15,10,0,1,0,0,0,1329,0,0,0,189,1,1,3,0,0,1,1,1,4,44,0,1,0,0,0,3,1080,0,0,175,15,2,86,16,20,6,0,0,24,0,5,1,276,225,0,0,0,0,51,0,0,0,0,0,0,0,0,4
4,13111,大田区,28397,13922,14475,25585,2,4,729,0,5,248,3,79,173,9122,1094,0,0,469,613,45,1,11,0,3389,218,0,12,1,158,192,1,1,3058,62,2874,0,3,1,52,478,33,2446,8,0,1267,0,11,18,5,4,7,5,7,3,19,197,197,4,8,1,16,88,1,5,0,0,4,7,0,0,2,19,3,27,8,29,134,0,62,24,27,0,6,231,21,53,0,1,0,4,1,4,3,0,0,1,0,144,3,1,0,6,0,0,0,5,0,0,0,0,3,0,0,1,15,10, ,2,0,10,0,0, ,2,0,1,12,3,0,1,0,16,0,1,7,1,0,2,0,0,0,1,0,11,3,8,16,2,1,0,0,0,871,0,0,0,116,2,4,2,0,2,3,0,1,4,29,0,2,0,0,0,3,703,0,0,364,22,8,232,15,18,2,0,5,56,0,2,4,146,102,5,0,0,1,33,0,0,0,1,3,0,1,0,20
4,13112,世田谷区,25537,13244,12293,18243,16,2,303,0,2,74,0,18,127,7460,1154,2,4,602,490,76,0,32,5,4202,78,1,3,3,181,102,1,2,595,48,1043,0,7,1,124,292,62,1126,3,2,3476,1,44,34,25,21,2,8,23,6,30,680,364,15,23,1,61,221,2,13,2,7,4,10,2,5,6,63,28,54,29,36,301,0,125,85,56,0,1,906,59,90,2,5,0,3,8,5,1,0,0,8,1,251,14,1,1,8,2,0,0,16,0,0,3,0,5,0,0,1,23,2,0,0,2,17,1,2,0,2,3,1,15,3,0,1,0,27,0,0,6,0,0,0,0,0,0,13,0,15,11,26,22,1,0,4,1,2,2674,1,0,0,382,10,9,4,0,2,4,2,3,4,91,1,3,0,0,0,1,2157,0,0,403,29,6,224,23,33,7,0,7,65,1,2,6,476,360,4,0,1,1,104,0,0,1,1,4,0,0,0,14
4,13113,渋谷区,11935,6505,5430,7277,4,1,74,0,1,25,1,10,37,3090,622,4,0,186,144,21,0,39,3,1824,15,0,1,1,93,47,0,0,183,12,300,0,1,12,86,140,46,254,0,0,2345,0,13,28,11,6,3,4,51,3,20,637,152,6,9,2,36,186,2,14,0,1,2,10,2,2,0,58,10,35,20,21,175,0,85,81,37,0,2,520,20,65,0,1,0,1,3,5,0,0,0,6,0,72,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,2,0,1,0,0,1,0,7,0,1,1,0,4,0,0,6,0,0,0,0,0,0,0,0,7,0,9,16,0,1,0,1,0,1709,0,0,0,219,2,3,0,0,0,1,0,1,4,36,1,2,0,0,2,0,1438,0,0,202,15,3,122,8,13,1,0,3,32,0,1,4,325,244,1,0,0,0,74,0,4,0,0,0,0,1,1,5
4,13114,中野区,21213,11166,10047,18615,0,4,813,1,1,122,2,37,328,7927,934,0,1,125,188,37,2,11,0,2721,90,0,7,1,103,146,1,2,2305,23,557,1,8,2,53,257,75,1728,2,0,1335,0,9,17,2,6,1,4,12,0,14,283,93,3,9,1,15,99,6,12,0,2,2,8,1,0,0,24,9,22,8,6,136,0,94,23,17,0,2,207,17,160,1,1,0,1,0,5,0,0,0,3,0,100,2,2,0,3,1,0,0,8,0,0,0,0,0,0,0,0,10,4,0,0,2,3,1,0,0,0,5,1,4,0,1,0,0,15,2,0,4,0,0,1,0,0,0,2,2,3,7,6,10,0,0,0,1,0,769,1,0,1,127,5,2,2,0,1,1,0,0,5,28,0,0,0,0,0,2,594,0,0,237,25,7,104,33,12,3,0,3,44,0,2,4,143,120,2,0,0,0,18,0,0,1,1,0,0,0,1,14
4,13115,杉並区,19178,9771,9407,16087,7,0,380,0,1,49,2,21,134,6414,925,0,0,139,278,31,0,9,1,2570,97,1,3,4,91,107,0,2,2402,13,551,0,0,0,53,227,55,1520,0,0,1484,0,13,26,7,7,2,8,9,0,17,310,113,5,7,0,20,131,1,6,0,2,3,3,1,2,1,21,11,13,14,13,123,0,79,42,21,0,0,315,40,83,0,1,0,1,3,4,3,0,0,2,1,81,1,0,0,1,0,0,0,2,0,0,1,0,4,0,0,0,6,3,0,0,0,3,0,0,0,3,0,0,4,0,1,0,0,17,0,0,3,0,0,0,0,0,0,0,0,8,0,16,3,3,0,2,0,0,1079,0,0,0,166,2,3,1,0,8,2,0,0,4,48,1,1,0,0,0,1,841,0,1,245,33,2,111,23,26,1,1,1,41,1,1,4,190,150,0,0,0,2,37,0,1,0,0,0,0,0,0,12
4,13116,豊島区,32732,16958,15774,29983,0,1,3547,1,1,224,2,16,90,15296,1186,0,0,193,189,22,1,11,7,2371,94,2,2,2,137,102,3,0,2754,73,508,5,12,1,63,333,36,2691,6,1,1622,0,9,14,6,10,1,7,10,1,13,357,118,2,6,3,11,84,12,13,0,1,2,3,1,1,0,27,7,38,14,12,120,0,88,26,23,0,9,203,12,346,1,1,0,1,2,2,2,0,0,3,0,92,2,0,0,1,0,0,0,4,0,0,1,0,2,0,0,0,3,3,0,0,1,5,0,0,0,1,1,0,7,0,1,0,0,13,0,1,4,2,1,0,0,0,0,2,0,15,1,12,9,0,0,0,0,0,722,0,0,1,132,1,4,3,1,1,1,0,1,3,36,0,0,1,0,1,0,533,1,2,186,21,1,84,15,17,1,0,3,38,0,2,4,107,88,0,0,0,0,16,0,1,0,0,1,0,1,0,20
4,13117,北区,27362,13861,13501,25569,3,0,1929,1,0,1325,1,26,120,13053,692,1,0,176,213,10,0,1,2,2379,226,1,6,2,111,169,1,0,1835,45,868,0,9,13,25,214,12,2099,0,1,1034,0,3,11,9,5,2,3,4,1,11,322,40,1,3,2,9,53,1,3,1,0,0,1,0,0,0,11,6,11,5,11,91,0,32,13,1,0,10,112,48,191,1,0,0,2,0,0,0,0,0,4,0,90,3,0,0,5,1,0,0,1,0,0,0,0,5,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,12,0,1,1,1,9,1,0,5,0,0,1,0,0,0,4,0,6,0,4,17,0,0,0,0,0,416,0,0,0,52,0,3,0,0,0,1,0,0,2,20,0,0,0,0,0,0,338,0,0,160,17,6,90,8,6,2,0,1,26,1,0,3,81,62,0,0,0,0,16,0,0,0,3,0,0,0,0,12
4,13118,荒川区,21251,10503,10748,20112,0,0,1196,0,0,80,0,12,87,8475,501,0,0,121,185,17,0,3,0,4433,290,0,2,2,74,126,0,1,1951,29,560,0,0,2,28,194,17,1726,0,0,685,1,4,2,0,0,0,1,3,0,2,75,39,0,3,0,4,37,0,3,0,0,0,0,0,0,1,2,1,12,2,11,61,0,29,6,7,0,0,90,6,281,0,0,0,0,0,1,0,0,0,1,0,47,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,2,0,0,0,0,1,0,8,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,1,0,266,0,0,0,40,1,0,2,0,0,0,0,1,3,18,0,0,0,0,1,2,198,0,0,96,6,1,51,9,14,1,0,0,14,0,0,0,33,19,0,0,0,0,14,0,0,0,0,0,0,0,0,12
4,13119,板橋区,32351,15685,16666,29961,8,0,1145,0,0,366,0,41,196,15780,1108,0,0,177,471,52,1,4,5,3249,280,0,10,0,208,270,1,0,2349,49,1616,0,5,1,45,370,33,2120,1,0,1283,1,15,16,6,1,1,3,4,4,6,378,84,0,11,2,5,61,6,19,0,0,0,3,1,2,1,15,6,21,10,15,89,0,35,10,13,0,1,179,49,198,0,3,0,1,1,2,0,0,1,4,0,192,3,0,2,5,0,0,0,7,0,0,4,1,3,0,0,0,29,4,9,0,2,1,1,1,1,0,2,0,6,4,0,2,0,38,0,1,10,0,1,3,0,1,1,5,0,13,3,9,13,4,1,0,1,1,556,0,0,0,101,0,1,0,0,0,0,1,1,8,28,0,0,0,0,0,3,413,0,0,250,17,15,130,17,25,3,0,5,38,0,0,0,89,62,2,0,0,0,22,0,2,0,0,1,0,0,0,20
4,13120,練馬区,23195,11032,12163,20705,6,0,657,0,0,115,0,28,256,9407,825,1,0,135,360,46,5,21,0,4147,186,1,5,6,136,259,0,1,1124,52,1218,0,2,3,31,298,50,1323,1,0,1096,0,6,13,9,6,1,5,7,4,7,211,108,5,14,2,5,70,2,6,0,1,1,6,0,0,1,18,4,30,13,17,102,0,77,30,8,0,0,216,19,60,1,3,0,1,0,3,1,0,0,3,0,150,4,0,2,6,0,0,0,3,0,0,0,0,5,0,0,0,25,2,0,0,1,4,0,0,1,2,0,0,13,2,0,0,0,34,0,1,10,0,0,4,0,0,0,1,1,8,2,7,8,2,0,1,1,0,815,2,0,0,132,0,0,1,0,1,2,0,2,6,39,0,0,0,0,0,1,629,0,0,293,22,3,158,14,40,1,0,6,42,1,1,5,126,88,2,0,0,1,35,0,0,0,0,0,0,0,0,10
4,13121,足立区,39331,18941,20390,37186,7,0,915,0,0,310,0,72,277,16790,787,1,0,260,663,41,0,3,0,6811,446,0,7,0,106,724,0,0,1151,164,3853,0,1,5,31,514,41,3199,7,0,919,0,5,13,2,6,1,3,4,0,6,137,41,0,5,1,10,41,2,4,0,0,1,0,0,0,0,12,7,23,9,19,132,0,29,14,5,1,1,139,83,151,1,5,0,0,1,1,0,0,0,4,0,283,4,0,0,20,0,0,0,22,0,0,5,0,19,0,0,0,42,3,1,0,1,4,1,0,1,1,17,0,13,0,1,2,0,61,0,1,13,1,0,6,0,0,0,0,0,18,5,7,7,2,1,3,1,0,488,0,0,0,76,0,2,6,0,0,2,0,1,9,44,0,2,0,0,0,3,343,0,0,346,20,4,217,26,22,3,0,4,48,0,1,1,84,54,3,0,0,0,26,0,0,0,1,0,0,0,0,25
4,13122,葛飾区,26838,13169,13669,25381,0,0,703,0,3,1029,0,26,264,12658,538,1,1,208,437,25,1,1,1,2986,229,0,4,0,128,356,0,0,1408,124,1882,0,1,1,26,357,18,1960,4,1,587,0,2,5,4,1,1,3,2,1,1,68,41,0,5,0,3,34,0,6,0,1,0,1,0,2,2,12,2,8,4,12,75,0,31,9,4,0,0,80,49,115,0,1,0,0,0,2,0,0,0,0,0,326,2,0,0,32,0,0,0,12,0,0,0,0,103,0,3,0,38,3,0,0,0,5,1,0,1,0,1,0,4,0,2,0,0,52,0,3,8,0,0,7,1,0,0,3,0,7,13,2,17,0,0,1,5,0,292,0,1,0,39,0,1,2,0,0,1,1,0,5,25,1,1,0,0,0,0,215,0,0,166,11,4,89,8,11,0,0,1,39,0,1,2,55,40,3,0,0,0,12,0,0,0,0,0,0,0,0,31
4,13123,江戸川区,42918,21407,21511,40581,1,,932,,2,501,2,50,311,16348,832,1,,6881,717,48,,1,7,3949,150,,5,1,165,345,,1,2017,120,3223,,3,5,26,489,32,3389,25,2,1186,,5,6,1,5,,8,4,2,6,120,57,2,6,1,5,59,7,10,,,2,3,,1,,15,2,14,4,39,225,,38,17,6,1,5,129,49,319,,10,,1,1,,1,,,,,211,5,,,12,,,,18,,,5,,10,,,,32,18,1,,,9,2,,,,,1,7,,,,,23,,1,13,,1,1,,,,4,2,5,6,12,14,2,,1,6,,538,,1,,86,9,3,4,,2,3,,3,2,41,,,,,,,384,,,288,14,3,168,5,28,,,5,57,1,,7,81,63,4,,,,13,,,,,1,,,,33
1,13200,市部,102977,50231,52746,88873,96,6,1832,2,6,834,2,333,896,33389,2872,2,0,1314,2819,303,9,28,10,13271,1335,1,135,11,679,961,2,3,5462,306,9057,3,16,59,193,1682,151,10786,7,0,4490,8,36,56,34,23,7,29,35,10,47,606,360,11,41,2,68,288,25,37,0,2,7,20,0,9,3,77,22,101,33,83,520,0,214,85,49,9,26,987,224,241,6,7,0,5,10,7,7,1,0,12,0,1454,17,10,0,64,0,0,2,23,0,1,8,3,44,3,4,5,262,157,3,0,13,48,9,2,1,15,14,0,41,7,1,3,0,198,1,8,73,25,2,16,0,2,0,34,4,35,43,68,121,11,17,29,2,5,4483,2,0,1,568,10,20,8,1,5,14,1,10,45,163,1,12,1,0,0,6,3614,0,1,2878,103,30,1291,54,146,10,0,32,1189,0,3,20,744,439,27,0,1,1,247,0,0,3,5,16,0,1,4,55
